Produto,Taxa_Mensal,Taxa_Anual,Observacoes
Conta Corrente,0.00,0.00,Gratuita para jovens até 29 anos
Conta Poupança,0.00,0.00,Sempre gratuita
Cartão de Débito,0.00,0.00,Sem anuidade
Cartão de Crédito Nacional,8.90,106.80,Primeira anuidade grátis
Cartão de Crédito Internacional,15.90,190.80,Para cooperados especiais
DOC,2.50,30.00,Por transação
TED Mesmo Banco,0.00,0.00,Gratuita
TED Outros Bancos,8.50,102.00,Por transação
PIX,0.00,0.00,Sempre gratuito
Saque Rede Própria,0.00,0.00,Ilimitado e gratuito
Saque Outros Bancos,4.50,54.00,Por transação
Empréstimo Pessoal,1.99,26.54,Taxa mínima ao mês
Financiamento Veículo,0.89,11.20,Taxa especial cooperados
Crédito Rural,0.75,9.38,Condições especiais
